"","Month","Year","month","dD","d18O","amount","d2H_x_amnt","d18O_x_amnt","d_excess"
"1","January","2013","212",0.363251434295586,-2.04095826907042,8,0.00146916656944625,-0.00825463405084093,16.690917586859
"2","February","2013","213",3.00231389325737,-1.12010365824363,54.5,0.0827230066645736,-0.0308623100982192,11.9631431592064
"3","March","2013","214",-8.60008991630836,-1.12822591365439,75.6,-0.328699088813403,-0.0431212735451325,0.425717392926776
"4","April","2013","215",-17.3641839237207,-2.81109594947368,186,-1.63283023751873,-0.264339659556171,5.12458367206879
"5","May","2013","216",-4.59060944736026,-2.0675657977907,231.3,-0.536808880270186,-0.241773492936799,11.9499169349653
"6","June","2013","217",-18.3286018034514,-4.08666050639535,347.4,-3.21908810238576,-0.717748159717768,14.3646822477114
"7","July","2013","218",-4.58239145181678,-1.43175329915966,184.5,-0.427427311860565,-0.133548272848816,6.87163494146053
"8","August","2013","219",-23.268407673235,-5.15972907839323,421.6,-4.95953522499287,-1.09976834148159,18.0094249539108
"9","September","2013","220",-8.17484222889217,-2.68152821141649,237.8,-0.982799535910293,-0.322379883050981,13.2773834624397
"10","October","2013","221",-10.329780894272,-2.85229674418605,89.9,-0.469488019411049,-0.129636742822207,12.4885930592164
"11","November","2013","222",-26.129160550041,-3.87267296744186,128.8,-1.70143371023523,-0.252174053693889,4.85222318949391
"12","December","2013","223",12.6914816027075,1.55552648558139,12.5,0.0802040040615997,0.00983017243163166,0.247269718056385
"13","January","2014","224",-4.02797013022504,-2.36259018592335,49.3,-0.160041044020063,-0.0938714508107842,14.8727513571617
"14","February","2014","225",12.6832702804995,2.3227295367916,16,0.163549584532554,0.0299513802294211,-5.89856601383329
"15","March","2014","226",-8.01159252399966,-2.84364122059463,157.8,-1.01888241480266,-0.361642959872528,14.7375372407574
"16","April","2014","227",-13.4707271400987,-4.45899995546742,54.3,-0.58950715966099,-0.19513515279004,22.2012725036407
"17","May","2014","228",-2.54435416983299,-2.27329936034532,92.5,-0.189678240417111,-0.169471462630515,15.6420407129296
"18","June","2014","229",-9.52696808700304,-3.53469200521246,274.2,-2.10533095539671,-0.781119074652851,18.7505679546967
"19","July","2014","230",-12.5564236049207,-4.04537881416431,243.2,-2.46109140934616,-0.792904680532527,19.8066069083938
"20","August","2014","231",-13.0174277054735,-3.54382954254958,212.2,-2.22622353248023,-0.606061112934413,15.3332086349232
"21","September","2014","232",-10.7628981280086,-3.31437582719547,43.4,-0.376458557991274,-0.115928361460576,15.7521084895552
"22","October","2014","234",-3.83426472188307,-3.04489031134289,6.5,-0.0200860095843327,-0.0159508277109355,20.5248577688601
"23","November","2014","235",-1.6695846987513,-3.11030782477184,58.7,-0.0789850272539503,-0.147143028138384,23.2128778994234
"24","December","2014","236",6.08651659254187,-0.24943456856531,32.7,0.16040384637018,-0.00657358993559448,8.08199314106434
"25","January","2015","237",0.57215803932132,-1.58116219123173,67,0.0380908074667413,-0.105264176085578,13.2214555691752
"26","February","2015","238",12.6587482897925,0.324289536534446,23,0.289299692632381,0.00741122748439215,10.064431997517
"27","March","2015","239",11.6097109614866,0.274408601252611,6.3,0.0726760523225019,0.00171778039337385,9.41444215146576
"28","April","2015","240",-5.24848018475349,-2.9680603425535,18,-0.093871863399804,-0.0530853399900269,18.4960025556745
"29","May","2015","241",-5.50601677596465,-1.754923535295,84.9,-0.464488100436605,-0.148045516838777,8.53337150639531
"30","June","2015","242",-5.33432571515729,-3.75867461525317,293,-1.55301811858216,-1.09428821767605,24.7350712068681
"31","July","2015","243",-15.5070210679972,-3.84887562849888,187.4,-2.88753552080949,-0.716692461030098,15.2839839599939
"32","August","2015","245",0.423821583425274,-1.42021526947029,93.5,0.0393753160276859,-0.131945675373084,11.7855437391876
"33","September","2015","246",-1.81424113598363,-1.68921821262509,101.4,-0.182794168510275,-0.170197462997003,11.6995045650171
"34","October","2015","247",-6.23,-3.1,91,-0.563324721780604,-0.280306041335453,18.57
"35","November","2015","248",-0.1,-1.7,24.2,-0.00240461049284579,-0.0408783783783784,13.5
"36","December","2015","249",13.8,1.7,16.7,0.228994435612083,0.0282094594594595,0.200000000000001
"37","January","2016","250",-1.2,-2.25,61,-0.0616161616161616,-0.115530303030303,16.8
"38","February","2016","251",-13.1,-1.52,2.7,-0.0297727272727273,-0.00345454545454545,-0.94
"39","March","2016","252",-6,-2.93,72,-0.363636363636364,-0.177575757575758,17.44
"40","April","2016","253",-3.8,-2.03,152,-0.486195286195286,-0.25973063973064,12.44
"41","May","2016","254",-4.3,-3.02,43.5,-0.157449494949495,-0.110580808080808,19.86
"42","June","2016","255",-4.8,-2.83,254.5,-1.02828282828283,-0.606258417508418,17.84
"43","July","2016","256",-28.93,-5.24,234.3,-5.70563888888889,-1.03344444444444,12.99
"44","August","2016","257",-17.76,-3.19,121,-1.80888888888889,-0.324907407407407,7.76
"45","September","2016","258",-6.7,-2.9,90,-0.507575757575758,-0.21969696969697,16.5
"46","October","2016","259",-2.64,-0.8,34,-0.0755555555555556,-0.0228956228956229,3.76
"47","November","2016","260",5.72,0.94,12,0.0577777777777778,0.0094949494949495,-1.8
"48","December","2016","261",8.14,-0.1,111,0.760555555555556,-0.00934343434343434,8.94
